"R","5119","PrimeRules","kamal","12/11/2017 11:23:37 AM"
"CO","6","core1","1 or 2",""
"CO","14","no","test",""
"CO","5","value","test",""
"A","5275","3","Start"
AP,"5275","19","<root entity="ItemProperty" isMetaData="0" typeID="1"><value>ability2</value></root>"
AP,"5275","20","RuleSetImage_2"
AP,"5275","21",""
AP,"5275","22","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5275","23","<root entity="ItemProperty" isMetaData="0" typeID="7"><value /><selectedunit /></root>"
AP,"5275","24",""
AP,"5275","25",""
AP,"5275","26",""
AP,"5275","27","<root entity="ItemProperty" isMetaData="0" typeID="7"><value /><selectedunit /></root>"
AP,"5275","51","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5275","52","<root entity="ItemProperty" isMetaData="0" typeID="15"><value /></root>"
AP,"5275","53","<root entity="ItemProperty" isMetaData="0" typeID="4"><value /></root>"
AP,"5275","54","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5275","55","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5275","56",""
AP,"5275","74",""
"A","5275","3","End"
"A","5284","3","Start"
AP,"5284","19","<root entity="ItemProperty" isMetaData="0" typeID="1"><value>ability1</value></root>"
AP,"5284","20","RuleSetImage_3"
AP,"5284","21",""
AP,"5284","22","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5284","23","<root entity="ItemProperty" isMetaData="0" typeID="7"><value /><selectedunit /></root>"
AP,"5284","24",""
AP,"5284","25",""
AP,"5284","26",""
AP,"5284","27","<root entity="ItemProperty" isMetaData="0" typeID="7"><value /><selectedunit /></root>"
AP,"5284","51","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5284","52","<root entity="ItemProperty" isMetaData="0" typeID="15"><value /></root>"
AP,"5284","53","<root entity="ItemProperty" isMetaData="0" typeID="4"><value /></root>"
AP,"5284","54","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5284","55","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5284","56",""
AP,"5284","74",""
"A","5284","3","End"
"A","5285","3","Start"
AP,"5285","19","<root entity="ItemProperty" isMetaData="0" typeID="1"><value>ability2</value></root>"
AP,"5285","20","RuleSetImage_4"
AP,"5285","21",""
AP,"5285","22","<root entity="ItemProperty" isMetaData="0" typeID="14"><value /></root>"
AP,"5285","23","<root entity="ItemProperty" isMetaData="0" typeID="7"><value /><selectedunit /></root>"
AP,"5285","24",""
AP,"5285","25",""
AP,"5285","26",""
